Group,Taxonomy,Taxonomy2
Amphibians,Class = AMPHIBIA,
"Anchovies, sardines & relatives",Order = CLUPEIFORMES,
Angelfishes,Family = POMACANTHIDAE,
Birches,Family = BETULACEAE,
Birds,Class = AVES,
Blennies,"Family = ""BLENNIIDAE"" Or ""CHAENOPSIDAE"" Or ""CLINIDAE"" Or ""DACTYLOSCOPIDAE"" Or ""LABRISOMIDAE"" Or ""TRIPTERYGIIDAE""",
Butterflyfishes,Family = CHAETODONTIDAE,
Cacti,Family = CACTACEAE,
Cephalopods,Class = CEPHALOPODA,
Chameleons,Family = CHAMAELEONIDAE,
Coelacanths & Lungfish,Class = SARCOPTERYGII,
Cone Snails,Genus = Conus,
Conifers,Class = PINOPSIDA,
"Crocodiles, Alligators, etc.",Order = CROCODYLIA,
Cycads,Class = CYCADOPSIDA,
FW Crabs,Families = GECARCINUCIDAE Or POTAMIDAE Or POTAMONAUTIDAE Or PSEUDOTHELPHUSIDAE Or TRICHODACTYLIDAE,
FW Crayfish,Family = ASTACIDAE Or CAMBARIDAE Or PARASTACIDAE,
Gnetopsida,Class = GNETOPSIDA,
Groupers,Family = EPINEPHELIDAE,
Hagfishes,Class = MYXINI,
Horseshoe Crabs,Class = MEROSTOMATA,
Lobsters,Family = GLYPHEIDAE Or POLYCHELIDAE Or NEPHROPIDAE Or ENOPLOMETOPIDAE Or PALINURIDAE Or SCYLLARIDAE,
Magnolias,Family: MAGNOLIACEAE,
Mammals,Class = MAMMALIA,
Marine Turtles,Family = CHELONIIDAE or DERMOCHELYIDAE,
"Pufferfishes, etc.",Family = TETRAODONTIDAE,
"Seabreams, Porgies & Picarels",Family = SPARIDAE or CENTRACANTHIDAE,
Seasnakes,Family = ELAPIDAE,Genus = Acalyptophis Or Aipysurus Or Astrotia Or Emydocephalus Or Enhydrina Or Ephalophis Or Hydrelaps Or Hydrophis Or Kerilia Or Kolpophis Or Lapemis Or Laticauda Or Parahydrophis Or Pelamis Or Thalassophina Or Thalassophis
Seasnakes,Family = ACROCHORDIDAE,Genus = Acrochordus
Seasnakes,Family = HOMALOPSIDAE,
Seasnakes,Family = NATRICIDAE,Genus = Anoplohydrus
"Sharks, Rays & Chimaeras",Class = CHONDRICHTHYES,
Sturgeons,Order = ACIPENSERIFORMES,
Surgeonfishes,Family = ACANTHURIDAE,
"Syngathiform fishes
(Seahorses & Pipefishes, Ghost Pipefishes, Seamoths, Shrimpfishes, Trumpetfishes, Cornetfishes)",Family = SYNGNATHIDAE Or AULOSTOMIDAE Or CENTRISCIDAE Or FISTULARIIDAE Or PEGASIDAE Or SOLENOSTOMIDAE,
Southern Beeches,Family = NOTHOFAGACEAE,
Tarpons & Bonefishes,Order = ALBULIFORMES or ELOPIFORMES,
Teas,Family = THEACEAE,
Tunas & Billfishes,Family = SCOMBRIDAE or ISTIOPHORIDAE or XIPHIIDAE,
Wrasses & Parrotfishes,Family = LABRIDAE or SCARIDAE,
